iter	Passed	Remaining
566	3203	2446
567	3206	2438
568	3207	2429
569	3212	2423
570	3214	2415
571	3217	2407
572	3219	2398
573	3221	2390
574	3223	2382
575	3227	2375
576	3229	2367
577	3232	2359
578	3235	2352
579	3237	2344
580	3242	2338
581	3244	2330
582	3246	2322
583	3250	2315
584	3253	2308
585	3259	2302
586	3262	2295
587	3264	2287
588	3266	2279
589	3269	2272
590	3276	2267
591	3278	2259
592	3281	2252
593	3284	2245
594	3289	2239
595	3291	2231
596	3293	2223
597	3296	2215
598	3306	2213
599	3310	2207
600	3314	2200
601	3321	2195
602	3325	2189
603	3328	2182
604	3330	2174
605	3332	2166
606	3337	2160
607	3339	2152
608	3341	2145
609	3343	2137
610	3372	2147
611	3375	2139
612	3378	2133
613	3384	2127
614	3387	2120
615	3390	2113
616	3405	2113
617	3409	2107
618	3411	2099
619	3414	2092
620	3418	2086
621	3420	2078
622	3422	2071
623	3424	2063
624	3426	2055
625	3431	2050
626	3434	2043
627	3440	2037
628	3443	2030
629	3446	2024
630	3450	2017
631	3456	2012
632	3459	2005
633	3461	1998
634	3464	1991
635	3466	1984
636	3469	1977
637	3472	1970
638	3476	1964
639	3480	1957
640	3487	1953
641	3490	1946
642	3493	1939
643	3495	1932
644	3500	1926
645	3508	1922
646	3512	1916
647	3517	1910
648	3523	1905
649	3528	1899
650	3531	1893
651	3533	1886
652	3538	1880
653	3552	1879
654	3556	1873
655	3564	1869
656	3570	1864
657	3577	1859
658	3583	1854
659	3593	1851
660	3596	1844
661	3598	1837
662	3600	1830
663	3602	1823
664	3604	1816
665	3609	1810
666	3614	1804
667	3616	1797
668	3619	1790
669	3624	1785
670	3627	1778
671	3630	1771
672	3632	1764
673	3634	1757
674	3636	1750
675	3645	1747
676	3648	1740
677	3653	1735
678	3663	1731
679	3667	1725
680	3672	1720
681	3676	1714
682	3678	1707
683	3683	1701
684	3686	1695
685	3688	1688
686	3690	1681
687	3692	1674
688	3694	1667
689	3700	1662
690	3703	1656
691	3705	1649
692	3709	1643
693	3718	1639
694	3723	1634
695	3729	1629
696	3732	1622
697	3734	1615
698	3745	1612
699	3749	1606
700	3752	1600
701	3756	1594
702	3760	1588
703	3763	1582
704	3767	1576
705	3775	1572
706	3781	1567
707	3784	1561
708	3789	1555
709	3792	1549
710	3795	1542
711	3797	1536
712	3802	1530
713	3805	1524
714	3808	1517
715	3821	1515
716	3829	1511
717	3836	1506
718	3906	1526
719	3954	1537
720	3957	1531
721	3960	1525
722	3963	1518
723	3969	1513
724	3973	1507
725	3976	1500
726	3979	1494
727	3984	1488
728	4053	1506
729	4057	1500
730	4060	1494
731	4076	1492
732	4082	1487
733	4085	1480
734	4089	1474
735	4092	1467
736	4106	1465
737	4109	1458
738	4115	1453
739	4155	1460
740	4187	1463
741	4191	1457
742	4199	1452
743	4203	1446
744	4206	1439
745	4213	1434
746	4216	1428
747	4221	1422
748	4237	1420
749	4243	1414
750	4295	1424
751	4297	1417
752	4303	1411
753	4310	1406
754	4313	1399
755	4317	1393
756	4320	1386
757	4323	1380
758	4326	1373
759	4334	1368
760	4339	1362
761	4344	1356
762	4353	1352
763	4356	1345
764	4368	1341
765	4379	1337
766	4383	1331
767	4397	1328
768	4403	1322
769	4406	1316
770	4412	1310
771	4417	1304
772	4421	1298
773	4424	1291
774	4430	1286
775	4433	1279
776	4436	1273
777	4444	1268
778	4450	1262
779	4453	1256
780	4459	1250
781	4462	1243
782	4464	1237
783	4467	1230
784	4471	1224
785	4477	1219
786	4480	1212
787	4483	1206
788	4485	1199
789	4495	1194
790	4498	1188
791	4510	1184
792	4513	1178
793	4517	1171
794	4519	1165
795	4523	1159
796	4525	1152
797	4528	1146
798	4531	1139
799	4549	1137
800	4552	1131
801	4556	1124
802	4560	1118
803	4582	1117
804	4586	1111
805	4592	1105
806	4595	1099
807	4598	1092
808	4602	1086
809	4604	1080
810	4616	1075
811	4619	1069
812	4625	1063
813	4628	1057
814	4631	1051
815	4635	1045
816	4646	1040
817	4651	1034
818	4657	1029
819	4682	1027
820	4693	1023
821	4697	1017
822	4710	1013
823	4729	1010
824	4733	1003
825	4738	998
826	4741	991
827	4745	985
828	4748	979
829	4756	974
830	4760	968
831	4764	962
832	4770	956
833	4774	950
834	4780	944
835	4786	938
